invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5%,sales,date,time,payment,cogs,gross_margin_percentage,gross_income,rating,hour,calculated_sales,day,day_of_week,month,week,is_weekend
750-67-8428,Alex,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,13:08:00,Ewallet,522.83,4.761904762,26.1415,9.1,13,548.9714999999999,5,Saturday,1,1,1
226-31-3081,Giza,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:29:00,Cash,76.4,4.761904762,3.82,9.6,10,80.21999999999998,8,Friday,3,10,0
631-41-3108,Alex,Yangon,Normal,Female,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,13:23:00,Credit card,324.31,4.761904762,16.2155,7.4,13,340.5255,3,Sunday,3,9,1
123-19-1176,Alex,Yangon,Member,Female,Health and beauty,58.22,8,23.288,489.048,2019-01-27,20:33:00,Ewallet,465.76,4.761904762,23.288,8.4,20,489.048,27,Sunday,1,4,1
373-73-7910,Alex,Yangon,Member,Female,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,10:37:00,Ewallet,604.17,4.761904762,30.2085,5.3,10,634.3785,8,Friday,2,6,0
699-14-3026,Giza,Naypyitaw,Member,Female,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,18:30:00,Ewallet,597.73,4.761904762,29.8865,4.1,18,627.6165,25,Monday,3,13,0
355-53-5943,Alex,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,14:36:00,Ewallet,413.04,4.761904762,20.652,5.8,14,433.692,25,Monday,2,9,0
315-22-5665,Giza,Naypyitaw,Member,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38:00,Ewallet,735.6,4.761904762,36.78,8.0,11,772.38,24,Sunday,2,8,1
665-32-9167,Alex,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,2019-01-10,17:15:00,Credit card,72.52,4.761904762,3.626,7.2,17,76.146,10,Thursday,1,2,0
692-92-5582,Cairo,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2019-02-20,13:27:00,Credit card,164.52,4.761904762,8.226,5.9,13,172.746,20,Wednesday,2,8,0
